RegionName,Median Household Income,Rank
"Grayson County, Virginia","43,348","2,903"
"Madison County, Florida","43,386","2,902"
"Webster County, West Virginia","43,409","2,901"
"Nevada County, Arkansas","43,421","2,900"
"Poinsett County, Arkansas","43,440","2,899"
"McIntosh County, Oklahoma","43,467","2,898"
"St. Clair County, Missouri","43,483","2,897"
"San Miguel County, New Mexico","43,490","2,896"
"Terrell County, Georgia","43,507","2,895"
"Worth County, Missouri","43,536","2,894"
"Chattooga County, Georgia","43,556","2,893"
"Hardeman County, Tennessee","43,566","2,892"
"Wright County, Missouri","43,573","2,891"
"Cedar County, Missouri","43,589","2,890"
"Lawrence County, Arkansas","43,606","2,889"
"Bradley County, Arkansas","43,688","2,888"
"Henry County, Virginia","43,694","2,887"
"Hyde County, North Carolina","43,724","2,886"
"Menifee County, Kentucky","43,797","2,885"
"Washington County, Georgia","43,810","2,884"
"Red River Parish, Louisiana","43,821","2,883"
"Reynolds County, Missouri","43,856","2,882"
"Hall County, Texas","43,873","2,881"
"Jasper County, Mississippi","43,914","2,880"
"Bamberg County, South Carolina","43,920","2,879"
"Bacon County, Georgia","43,938","2,878"
"Franklin County, Mississippi","43,942","2,877"
"McKinley County, New Mexico","44,029","2,876"
"Russell County, Virginia","44,088","2,875"
"New Madrid County, Missouri","44,092","2,874"
"Conejos County, Colorado","44,093","2,873"
"Prairie County, Montana","44,107","2,872"
"Ware County, Georgia","44,138","2,871"
"Johnson County, Kentucky","44,231","2,870"
"Brown County, Nebraska","44,267","2,869"
"Darlington County, South Carolina","44,317","2,867"
"Pickett County, Tennessee","44,317","2,867"
"Whitley County, Kentucky","44,332","2,866"
"Barbour County, West Virginia","44,341","2,865"
"Butler County, Alabama","44,429","2,864"
"St. Landry Parish, Louisiana","44,478","2,863"
"Calhoun County, Mississippi","44,505","2,862"
"Wyoming County, West Virginia","44,510","2,861"
"Fairfield County, South Carolina","44,521","2,860"
"Scott County, Virginia","44,535","2,859"
"Red River County, Texas","44,583","2,858"
"Lincoln County, Montana","44,593","2,857"
"Galax City, Virginia","44,612","2,856"
"Lewis County, Tennessee","44,613","2,855"
"Hardee County, Florida","44,665","2,854"
"Clay County, Arkansas","44,685","2,853"
"Stephens County, Texas","44,712","2,852"
"Van Buren County, Tennessee","44,730","2,851"
"Catron County, New Mexico","44,777","2,850"
"Hughes County, Oklahoma","44,799","2,848"
"Martin County, North Carolina","44,799","2,848"
"Ashley County, Arkansas","44,804","2,847"
"Shoshone County, Idaho","44,807","2,846"
"Bennett County, South Dakota","44,821","2,845"
"Howard County, Arkansas","44,824","2,844"
"Jackson County, Illinois","44,847","2,843"
"Putnam County, Florida","44,852","2,842"
"Dunklin County, Missouri","44,868","2,841"
"Haywood County, Tennessee","44,890","2,840"
"Grant County, New Mexico","44,895","2,839"
"Winn Parish, Louisiana","44,922","2,838"
"Adair County, Oklahoma","44,955","2,837"
"Drew County, Arkansas","44,968","2,835"
"Scott County, Mississippi","44,968","2,835"
"Acadia Parish, Louisiana","44,977","2,834"
"DeSoto County, Florida","45,000","2,833"
"West Carroll Parish, Louisiana","45,035","2,832"
"Hempstead County, Arkansas","45,049","2,831"
"Dixie County, Florida","45,057","2,830"
"Smyth County, Virginia","45,061","2,829"
"Warren County, Georgia","45,091","2,828"
"Cocke County, Tennessee","45,110","2,827"
"Falls County, Texas","45,172","2,826"
"Bristol City, Virginia","45,250","2,824"
"Kiowa County, Colorado","45,250","2,824"
"Martin County, Kentucky","45,265","2,823"
"Dawson County, Texas","45,268","2,822"
"Perry County, Kentucky","45,330","2,821"
"Pickens County, Alabama","45,339","2,820"
"Scott County, Arkansas","45,340","2,819"
"Baker County, Georgia","45,417","2,818"
"Okfuskee County, Oklahoma","45,429","2,817"
"Kenedy County, Texas","45,455","2,816"
"Harney County, Oregon","45,462","2,815"
"Winston County, Mississippi","45,516","2,814"
"Candler County, Georgia","45,519","2,812"
"Greenbrier County, West Virginia","45,519","2,812"
"Tishomingo County, Mississippi","45,545","2,811"
"Hart County, Kentucky","45,561","2,810"
"Dougherty County, Georgia","45,640","2,809"
"Lauderdale County, Mississippi","45,649","2,808"
"Fayette County, Alabama","45,650","2,807"
"Rockcastle County, Kentucky","45,693","2,806"
"Northampton County, North Carolina","45,698","2,805"
"Caldwell Parish, Louisiana","45,707","2,804"
"Gadsden County, Florida","45,721","2,803"
"Carter County, Missouri","45,737","2,801"
"Covington City, Virginia","45,737","2,801"
"Grenada County, Mississippi","45,745","2,800"
"Van Buren County, Arkansas","45,768","2,799"
"Charlton County, Georgia","45,770","2,798"
"Bent County, Colorado","45,776","2,797"
"Crittenden County, Kentucky","45,810","2,796"
"Sedgwick County, Colorado","45,855","2,795"
"Taliaferro County, Georgia","45,881","2,794"
"San Augustine County, Texas","45,888","2,793"
"Lake County, Michigan","45,946","2,792"
"Mitchell County, Georgia","45,966","2,791"
"Randolph County, Arkansas","45,993","2,790"
"Graham County, North Carolina","46,010","2,789"
"Morgan County, Kentucky","46,018","2,788"
"Ziebach County, South Dakota","46,023","2,787"
"Holmes County, Florida","46,063","2,785"
"Seminole County, Georgia","46,063","2,785"
"Dodge County, Georgia","46,091","2,784"
"Jackson County, Florida","46,144","2,783"
"Izard County, Arkansas","46,159","2,782"
"Cameron County, Pennsylvania","46,186","2,780"
"Ottawa County, Oklahoma","46,186","2,780"
"Forest County, Pennsylvania","46,188","2,779"
"Hertford County, North Carolina","46,196","2,778"
"Iosco County, Michigan","46,224","2,777"
"Adams County, Ohio","46,234","2,776"
"Haskell County, Oklahoma","46,239","2,774"
"Taylor County, Florida","46,239","2,774"
"Meigs County, Ohio","46,255","2,773"
"Colfax County, New Mexico","46,286","2,772"
"Tillman County, Oklahoma","46,306","2,771"
"Chesterfield County, South Carolina","46,326","2,770"
"Clarke County, Mississippi","46,329","2,769"
"Montmorency County, Michigan","46,345","2,768"
"Scioto County, Ohio","46,360","2,767"
"Edgecombe County, North Carolina","46,370","2,766"
"Irwin County, Georgia","46,383","2,765"
"Howell County, Missouri","46,401","2,764"
"St. Helena Parish, Louisiana","46,402","2,763"
"Mercer County, West Virginia","46,409","2,762"
"Deer Lodge County, Montana","46,436","2,761"
"Lewis County, Idaho","46,484","2,760"
"Carter County, Montana","46,486","2,759"
"McDonald County, Missouri","46,494","2,758"
"Tazewell County, Virginia","46,508","2,757"
"Dallas County, Missouri","46,547","2,756"
"Overton County, Tennessee","46,580","2,755"
"Cherokee County, Alabama","46,621","2,754"
"Mineral County, Nevada","46,625","2,753"
"Jim Wells County, Texas","46,626","2,752"
"La Paz County, Arizona","46,634","2,751"
"Dickens County, Texas","46,638","2,750"
"Payne County, Oklahoma","46,658","2,749"
"Leake County, Mississippi","46,669","2,748"
"Lauderdale County, Tennessee","46,702","2,747"
"Cook County, Georgia","46,706","2,745"
"Crawford County, Indiana","46,706","2,745"
"Jackson County, Alabama","46,748","2,744"
"Le Flore County, Oklahoma","46,750","2,743"
"Wilcox County, Georgia","46,759","2,742"
"Shannon County, Missouri","46,767","2,741"
"Laurens County, Georgia","46,776","2,740"
"Colleton County, South Carolina","46,795","2,739"
"Dade County, Missouri","46,806","2,738"
"Real County, Texas","46,842","2,737"
"Jefferson County, Arkansas","46,855","2,736"
"Jefferson County, Georgia","46,865","2,735"
"Fleming County, Kentucky","46,885","2,734"
"Copiah County, Mississippi","46,889","2,733"
"Hardin County, Tennessee","46,902","2,732"
"DeKalb County, Tennessee","46,907","2,731"
"McNairy County, Tennessee","46,920","2,730"
"Petersburg City, Virginia","46,930","2,729"
"Metcalfe County, Kentucky","46,932","2,728"
"Carter County, Kentucky","47,004","2,727"
"Yalobusha County, Mississippi","47,006","2,726"
"Cherokee County, South Carolina","47,011","2,725"
"Assumption Parish, Louisiana","47,023","2,724"
"Grayson County, Kentucky","47,024","2,723"
"Bronx County, New York","47,036","2,722"
"Prairie County, Arkansas","47,045","2,721"
"McCurtain County, Oklahoma","47,046","2,720"
"Sabine County, Texas","47,061","2,719"
"Union Parish, Louisiana","47,068","2,718"
"Lincoln County, Mississippi","47,069","2,717"
"Graham County, Kansas","47,071","2,716"
"Grainger County, Tennessee","47,098","2,715"
"Montgomery County, Arkansas","47,103","2,714"
"Jewell County, Kansas","47,109","2,713"
"Sanders County, Montana","47,110","2,712"
"Coal County, Oklahoma","47,117","2,711"
"Garden County, Nebraska","47,139","2,710"
"Walker County, Texas","47,193","2,709"
"Colquitt County, Georgia","47,235","2,708"
"Butler County, Missouri","47,245","2,707"
"Monroe County, Kentucky","47,252","2,706"
"Toombs County, Georgia","47,310","2,705"
"Trinity County, California","47,317","2,704"
"St. Mary Parish, Louisiana","47,322","2,703"
"Ouachita County, Arkansas","47,348","2,702"
"Franklin County, Alabama","47,359","2,701"
"Daniels County, Montana","47,378","2,700"
"Decatur County, Georgia","47,383","2,699"
"Neshoba County, Mississippi","47,400","2,698"
"Baxter County, Arkansas","47,403","2,697"
"Russell County, Alabama","47,420","2,696"
"Cameron County, Texas","47,435","2,695"
"Nolan County, Texas","47,437","2,694"
"Columbia County, Arkansas","47,441","2,693"
"Crisp County, Georgia","47,463","2,692"
"Sequoyah County, Oklahoma","47,494","2,691"
"Otero County, Colorado","47,500","2,690"
"Washington County, Florida","47,536","2,689"
"Wise County, Virginia","47,541","2,688"
"Clarke County, Alabama","47,549","2,687"
"Greenwood County, South Carolina","47,553","2,686"
"Johnson County, Tennessee","47,571","2,685"
"Caddo Parish, Louisiana","47,572","2,684"
"Butler County, Kentucky","47,589","2,683"
"Geneva County, Alabama","47,608","2,682"
"Miller County, Arkansas","47,613","2,681"
"Cottle County, Texas","47,625","2,680"
"Hamilton County, Florida","47,668","2,679"
"Franklin County, Arkansas","47,695","2,678"
"Alcorn County, Mississippi","47,716","2,677"
"Benton County, Tennessee","47,737","2,676"
"Brewster County, Texas","47,747","2,675"
"Weakley County, Tennessee","47,769","2,674"
"Johnson County, Georgia","47,796","2,673"
"Clare County, Michigan","47,816","2,672"
"Yukon-Koyukuk Census Area, Alaska","47,826","2,671"
"Douglas County, Missouri","47,848","2,670"
"Fentress County, Tennessee","47,884","2,669"
"Panola County, Mississippi","47,894","2,668"
"Emanuel County, Georgia","47,905","2,667"
"Gogebic County, Michigan","47,913","2,666"
"Lincoln County, New Mexico","47,919","2,665"
"DeKalb County, Alabama","47,920","2,664"
"Grundy County, Tennessee","47,948","2,663"
"Tippah County, Mississippi","47,968","2,662"
"Potter County, Texas","47,974","2,661"
"Raleigh County, West Virginia","47,975","2,660"
"Carter County, Tennessee","47,994","2,659"
"Craig County, Oklahoma","48,018","2,658"
"Henry County, Tennessee","48,025","2,657"
"Marion County, Texas","48,040","2,656"
"Liberty County, Montana","48,047","2,655"
"Talbot County, Georgia","48,065","2,654"
"Clark County, Arkansas","48,071","2,653"
"Clay County, Alabama","48,074","2,652"
"Barton County, Missouri","48,105","2,651"
"Corson County, South Dakota","48,125","2,649"
"Richland Parish, Louisiana","48,125","2,649"
"Cross County, Arkansas","48,129","2,648"
"Barren County, Kentucky","48,141","2,647"
"Elbert County, Georgia","48,190","2,646"
"Russell County, Kentucky","48,220","2,644"
"White County, Tennessee","48,220","2,644"
"Campbell County, Tennessee","48,258","2,643"
"Catahoula Parish, Louisiana","48,259","2,642"
"Gregory County, South Dakota","48,272","2,640"
"Wheatland County, Montana","48,272","2,640"
"Calloway County, Kentucky","48,276","2,639"
"Ontonagon County, Michigan","48,316","2,638"
"Perry County, Mississippi","48,333","2,637"
"Vance County, North Carolina","48,340","2,636"
"Jefferson County, Oklahoma","48,346","2,635"
"Early County, Georgia","48,355","2,634"
"Malheur County, Oregon","48,371","2,633"
"Coffee County, Georgia","48,398","2,632"
"Polk County, Arkansas","48,449","2,631"
"Mason County, Kentucky","48,460","2,630"
"Decatur County, Tennessee","48,466","2,629"
"Johnston County, Oklahoma","48,476","2,628"
"Maverick County, Texas","48,497","2,627"
"Crenshaw County, Alabama","48,557","2,626"
"Hinds County, Mississippi","48,596","2,625"
"Calhoun County, Georgia","48,663","2,624"
"Berrien County, Georgia","48,670","2,623"
"Clarendon County, South Carolina","48,677","2,622"
"Clarke County, Georgia","48,692","2,620"
"Oscoda County, Michigan","48,692","2,620"
"Upson County, Georgia","48,740","2,619"
"Athens County, Ohio","48,750","2,617"
"Knox County, Texas","48,750","2,617"
"Pulaski County, Kentucky","48,768","2,616"
"Covington County, Alabama","48,772","2,615"
"Buena Vista City, Virginia","48,783","2,614"
"Chambers County, Alabama","48,805","2,613"
"Jasper County, Texas","48,818","2,612"
"Nicholas County, West Virginia","48,826","2,611"
"Marion County, Georgia","48,836","2,610"
"Morgan County, Missouri","48,841","2,609"
"Bibb County, Georgia","48,897","2,608"
"McDonough County, Illinois","48,904","2,607"
"Cleveland County, Arkansas","48,913","2,606"
"Christian County, Kentucky","48,920","2,605"
"Cabell County, West Virginia","48,944","2,604"
"Las Animas County, Colorado","48,965","2,603"
"Ritchie County, West Virginia","48,973","2,602"
"Carroll County, Virginia","49,113","2,601"
"Wilkes County, North Carolina","49,119","2,600"
"Alpena County, Michigan","49,133","2,599"
"Montgomery County, Georgia","49,138","2,598"
"Halifax County with South Boston City, Virginia","49,145","2,597"
"Newton County, Mississippi","49,160","2,596"
"Knox County, Missouri","49,167","2,595"
"Ashe County, North Carolina","49,176","2,594"
"Patrick County, Virginia","49,180","2,593"
"Atoka County, Oklahoma","49,181","2,592"
"Laclede County, Missouri","49,202","2,591"
"Hardy County, West Virginia","49,205","2,590"
"Lemhi County, Idaho","49,216","2,589"
"Shelby County, Texas","49,231","2,588"
"Zavala County, Texas","49,243","2,587"
"Pike County, Arkansas","49,248","2,586"
"Cherokee County, North Carolina","49,254","2,585"
"Hendry County, Florida","49,259","2,584"
"Ouachita Parish, Louisiana","49,261","2,583"
"Floyd County, Texas","49,321","2,582"
"Forrest County, Mississippi","49,340","2,581"
"Scott County, Indiana","49,343","2,580"
"Whitman County, Washington","49,345","2,579"
"Wayne County, Tennessee","49,360","2,578"
"Washington County, Missouri","49,364","2,577"
"Hidalgo County, Texas","49,371","2,576"
"Duplin County, North Carolina","49,376","2,575"
"Decatur County, Kansas","49,412","2,574"
"Prowers County, Colorado","49,422","2,573"
"Jones County, Mississippi","49,451","2,572"
"Hitchcock County, Nebraska","49,456","2,571"
"Lincoln County, Kentucky","49,487","2,570"
"Winston County, Alabama","49,494","2,569"
"Lamar County, Alabama","49,565","2,568"
"Woodruff County, Arkansas","49,608","2,567"
"Marion County, Kentucky","49,627","2,566"
"Huerfano County, Colorado","49,631","2,565"
"Hamblen County, Tennessee","49,656","2,564"
"Upshur County, West Virginia","49,663","2,563"
"Chaves County, New Mexico","49,673","2,562"
"Adair County, Kentucky","49,690","2,561"
"Carroll County, Tennessee","49,700","2,560"
"Suwannee County, Florida","49,729","2,559"
"Marion County, Alabama","49,743","2,558"
"Union County, Arkansas","49,745","2,557"
"Comanche County, Kansas","49,754","2,556"
"Abbeville County, South Carolina","49,759","2,555"
"Crawford County, Kansas","49,779","2,553"
"Lewis County, Missouri","49,779","2,553"
"De Soto Parish, Louisiana","49,807","2,552"
"Wilson County, North Carolina","49,827","2,551"
"Wayne County, Georgia","49,847","2,550"
"Unicoi County, Tennessee","49,855","2,549"
"Cibola County, New Mexico","49,866","2,548"
"Mitchell County, Texas","49,869","2,547"
"Randolph County, Alabama","49,879","2,546"
"Roscommon County, Michigan","49,898","2,545"
"Russell County, Kansas","49,929","2,544"
"Levy County, Florida","49,933","2,543"
"Screven County, Georgia","49,941","2,542"
"Sampson County, North Carolina","49,963","2,541"
"Elk County, Kansas","50,000","2,538"
"Greene County, Mississippi","50,000","2,538"
"Loup County, Nebraska","50,000","2,538"
"Mississippi County, Arkansas","50,012","2,537"
"Chester County, South Carolina","50,022","2,536"
"Watauga County, North Carolina","50,034","2,535"
"Rowan County, Kentucky","50,038","2,534"
"Washington County, Idaho","50,046","2,533"
"Fayette County, West Virginia","50,090","2,532"
"Benton County, Missouri","50,229","2,531"
"Monroe County, Missouri","50,245","2,530"
"Hot Spring County, Arkansas","50,260","2,529"
"Knox County, Illinois","50,263","2,528"
"Crosby County, Texas","50,268","2,527"
"Conway County, Arkansas","50,282","2,526"
"Bee County, Texas","50,283","2,525"
"Muskogee County, Oklahoma","50,289","2,524"
"Alcona County, Michigan","50,295","2,523"
"Greene County, North Carolina","50,320","2,522"
"Burke County, Georgia","50,321","2,520"
"Richardson County, Nebraska","50,321","2,520"
"Navajo County, Arizona","50,335","2,519"
"Eddy County, North Dakota","50,375","2,518"
"Ogemaw County, Michigan","50,377","2,517"
"Shelby County, Missouri","50,387","2,516"
"Ferry County, Washington","50,424","2,515"
"Twiggs County, Georgia","50,446","2,514"
"Okeechobee County, Florida","50,476","2,513"
"Rutherford County, North Carolina","50,512","2,512"
"Lincoln County, Arkansas","50,526","2,511"
"Lewis County, West Virginia","50,552","2,510"
"Richmond County, Georgia","50,605","2,509"
"Carroll County, Kentucky","50,625","2,508"
"Obion County, Tennessee","50,638","2,507"
"Hopewell City, Virginia","50,661","2,506"
"Bibb County, Alabama","50,669","2,505"
"Woodson County, Kansas","50,670","2,504"
"Appanoose County, Iowa","50,684","2,503"
"Duval County, Texas","50,697","2,502"
"Newton County, Arkansas","50,699","2,501"
"Wetzel County, West Virginia","50,715","2,500"
