RegionName,StateName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Pittsburgh, PA",PA,82383.8317,86031.69757,90786.56624,95483.81772,99700.92959,105047.9638,109630.9328,112162.5623,114624.1602,113833.5312,116466.0047,118564.4831,117068.9746,118873.7494,123190.3038,127974.2709,134487.2163,139035.9286,144908.082,150150.4735,158105.2788,176627.8285,189428.5007,195820.4697,203447.973
"Cincinnati, OH",OH,125997.8787,131629.9315,136698.6022,141714.3898,147162.5826,151882.7557,156742.0525,159017.1922,156648.5768,149468.1954,145604.3498,141498.3542,134663.6369,136167.3737,142718.235,147275.271,155309.0311,163269.3684,172238.7209,184156.4695,195752.5998,221231.5588,246037.5794,264907.3965,279384.0904
"Austin, TX",TX,169574.132,176013.9346,178347.5274,176015.076,176905.0335,184013.2778,190168.7061,196918.6809,204108.9415,198955.4387,195748.5555,189880.1248,187915.8982,199036.6203,220865.2019,245572.5126,268300.175,284706.6673,295655.0657,305078.2877,319470.6515,364850.1753,494377.4141,497650.1997,462362.1149
"Las Vegas, NV",NV,160571.7904,167559.7191,179266.6774,190398.1684,215744.3807,302089.0195,340049.22,344121.1459,298747.3046,205278.1335,154092.8259,144196.0551,130094.0119,144518.82,187098.6308,202977.4254,218677.973,230277.3001,263039.9,295814.0535,303101.1536,324049.9754,400639.2255,423191.6123,425923.2246
"Kansas City, MO",MO,108825.5341,115110.8478,123382.0652,129038.4836,134446.0421,138487.0509,143509.2166,147963.4008,148687.578,144811.3115,142590.6838,137313.5792,129702.7126,132800.252,138897.8773,145933.6808,156163.8221,168436.1341,181692.1079,194107.7409,204141.1525,228186.8257,256300.9391,277147.7974,291319.9944
"Columbus, OH",OH,128504.0427,133921.2354,139604.1309,144883.0901,150309.6666,155424.6236,159597.5485,160296.0313,157322.71,152172.3782,146968.1774,143922.6087,137077.6931,137525.9304,146509.1232,155440.8304,167873.4129,176379.3102,189514.6554,203055.9203,217806.4784,245639.9639,273784.0959,301571.1295,318152.9954
"Indianapolis, IN",IN,,,,,118017.1175,121929.6621,127613.8529,129990.18,130291.6277,126732.2423,126545.018,122990.6245,119675.82,122439.0496,127964.0254,134271.983,140026.8422,148937.3015,159555.1142,172301.7601,183912.1843,207134.6649,243338.4323,265126.3087,270992.9497
"Cleveland, OH",OH,117230.1744,123072.3384,127340.4235,130596.2688,136080.2327,140537.4659,144644.2099,144151.5899,138634.7686,130514.7494,125464.4319,120465.4549,113627.4996,115720.5781,119387.6197,121129.9543,127770.1229,133934.6284,141721.0992,150110.5468,156842.1072,174400.5946,190343.4703,206374.6782,219369.4142
"San Jose, CA",CA,377635.864,478206.0659,489336.5904,509653.1452,522648.2556,612712.4965,703662.3731,711022.0512,685560.5114,558852.8682,535687.9721,523677.4603,501151.4008,627653.3132,727925.6227,818036.1711,932372.1698,896046.2341,993321.321,1241321.953,1160977.427,1278403.126,1488449.839,1488299.316,1582386.86
"Nashville, TN",TN,138571.6455,142925.6616,146755.8999,150115.6173,153697.8045,160140.409,171544.3793,183252.2018,186775.6051,181763.1655,174951.866,169901.1263,164077.6458,169400.8845,180409.6613,193037.599,216443.2461,241759.9708,264842.254,280575.0041,294535.0211,321931.8531,394882.6716,433292.9053,434921.026
